sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00063,149,1,0.9933333333333333,0.013835719358751553,0.7583779540845887,0.079614362,149,1,normal,0
NOR_00064,148,2,0.9866666666666667,0.013027883,0.5428318802367013,0.062836413,148,1,normal,0
NOR_00065,150,0,1,0.010373855606872838,0.6155835414450094,0.050984082,150,1,normal,0
NOR_00066,149,1,0.9933333333333333,0.044474063,3.310864361,0.3067241722781882,149,1,normal,0
NOR_00067,148,2,0.9866666666666667,0.031827160826838084,3.314065652343793,0.27969816058118085,148,1,normal,0
NOR_00068,149,1,0.9933333333333333,0.014547372281727642,0.9917006384219231,0.082397899,149,1,normal,0
NOR_00069,149,1,0.9933333333333333,0.011222755039392044,0.3729701005299684,0.040201377,149,1,normal,0
NOR_00070,150,0,1,0.005580132,0.079951489,0.010059954,150,1,normal,0
NOR_00071,150,0,1,0.008461753,0.2527762323422154,0.027562997689794633,150,1,normal,0
NOR_00072,150,0,1,0.010602004,0.2835983717858707,0.030954631,150,1,normal,0
NOR_00073,150,0,1,0.021553973539488454,1.057422838791796,0.10178801875549776,150,1,normal,0
NOR_00074,150,0,1,0.006412461,0.1393134279871647,0.015489261673719756,150,1,normal,0
NOR_00075,150,0,1,0.005678696,0.1261752566848402,0.013937627764735446,150,1,normal,0
NOR_00076,149,1,0.9933333333333333,0.009089026,0.5328996461984096,0.04384731,149,1,normal,0
NOR_00077,150,0,1,0.006253172,0.073577317,0.012224088371521063,150,1,normal,0
NOR_00078,150,0,1,0.007604867,0.1830347331859623,0.01852405,150,1,normal,0
NOR_00079,150,0,1,0.006967043,0.1045837617972617,0.014640557,150,1,normal,0
NOR_00080,150,0,1,0.00792731,0.1694177950906249,0.022993093445718187,150,1,normal,0
NOR_00081,150,0,1,0.007890268,0.1287979202439251,0.017712455413203647,150,1,normal,0
NOR_00082,150,0,1,0.00806456,0.1155824334482892,0.018520498477012298,150,1,normal,0
NOR_00083,150,0,1,0.007372723,0.1881660786694359,0.018735662363386932,150,1,normal,0
NOR_00084,150,0,1,0.009215194,0.2729990413865999,0.028211352494576625,150,1,normal,0
NOR_00085,149,1,0.9933333333333333,0.008778216,0.4932101347976748,0.042290489067087905,149,1,normal,0
NOR_00086,150,0,1,0.005759107,0.097540408,0.01371911,150,1,normal,0
NOR_00087,150,0,1,0.008107584,0.2491602726679578,0.028493741216879802,150,1,normal,0
NOR_00088,150,0,1,0.009148,0.1643287064423571,0.025514427373413487,150,1,normal,0
NOR_00089,150,0,1,0.006592339,0.086345724,0.014793091932361604,150,1,normal,0
NOR_00090,150,0,1,0.008011535,0.1187496461371372,0.021159975934442334,150,1,normal,0
NOR_00091,150,0,1,0.00692231,0.1427306067745671,0.018619255,150,1,normal,0
NOR_00092,150,0,1,0.005334804,0.1009200937162613,0.014833588677168283,150,1,normal,0
NOR_00093,150,0,1,0.005045901,0.1068402710278328,0.014881148112859193,150,1,normal,0
NOR_00094,150,0,1,0.00873693,0.1248592684990888,0.021805516238446152,150,1,normal,0
NOR_00095,150,0,1,0.007044394,0.098486144,0.014700451,150,1,normal,0
NOR_00096,150,0,1,0.007059496,0.1411204269708045,0.019077035,150,1,normal,0
NOR_00097,150,0,1,0.006964149,0.1602687363956844,0.01854893,150,1,normal,0
NOR_00098,150,0,1,0.006597349,0.07708154,0.014522678,150,1,normal,0
NOR_00099,149,1,0.9933333333333333,0.016987972,0.8909433483945779,0.09683562,149,1,normal,0
NOR_00100,150,0,1,0.006600567,0.076331717,0.013267535499410656,150,1,normal,0
NOR_00101,150,0,1,0.00765189,0.4452473322673415,0.037074301,150,1,normal,0
NOR_00102,150,0,1,0.006229843,0.09368007,0.013856907,150,1,normal,0
NOR_00103,150,0,1,0.007584164,0.2234396831687556,0.022128362,150,1,normal,0
NOR_00104,150,0,1,0.008693604,0.1892153976323545,0.024141683,150,1,normal,0
NOR_00105,150,0,1,0.006652316,0.1446085084370166,0.017847462,150,1,normal,0
NOR_00106,150,0,1,0.004416877,0.056388591,0.008687732,150,1,normal,0
NOR_00107,150,0,1,0.00833233,0.1660746643117029,0.022116364803863954,150,1,normal,0
NOR_00108,150,0,1,0.005699383,0.066664418,0.010621493881246483,150,1,normal,0
NOR_00109,150,0,1,0.004783934,0.066337632,0.009989629,150,1,normal,0
NOR_00110,150,0,1,0.007921426,0.1838318458639589,0.022429739101710287,150,1,normal,0
NOR_00111,150,0,1,0.008334792,0.2011028892572217,0.027308726,150,1,normal,0
NOR_00112,150,0,1,0.008730329,0.26261995,0.024758501,150,1,normal,0
NOR_00113,150,0,1,0.00594476,0.063755661,0.012095710407416523,150,1,normal,0
NOR_00114,148,2,0.9866666666666667,0.010522471962012909,0.3642817880578753,0.041615151214853624,148,1,normal,0
NOR_00115,150,0,1,0.009829182,0.6099604768015896,0.050485216,150,1,normal,0
NOR_00116,148,2,0.9866666666666667,0.034828976,1.367119645371715,0.17699294890137304,148,1,normal,0
NOR_00117,150,0,1,0.018109522770912736,0.9306675474077319,0.09040687,150,1,normal,0
NOR_00118,149,1,0.9933333333333333,0.026229760132546263,1.343779607892774,0.1536402358156626,149,1,normal,0
NOR_00119,150,0,1,0.009044425,0.1616991787891262,0.023416042855475827,150,1,normal,0
NOR_00120,150,0,1,0.005906067,0.071886714,0.01124954,150,1,normal,0
NOR_00121,148,2,0.9866666666666667,0.021203807962730862,1.358108768287315,0.1378945514859693,148,1,normal,0
NOR_00122,148,2,0.9866666666666667,0.017769548639571805,0.7656288466724719,0.088506724,148,1,normal,0
NOR_00123,150,0,1,0.005179748,0.038218079,0.007687585,150,1,normal,0
NOR_00124,149,1,0.9933333333333333,0.015280469393215205,0.5112498179653371,0.057987832,149,1,normal,0
NOR_00125,149,1,0.9933333333333333,0.012140357,0.3498336702761016,0.042384524,149,1,normal,0
